epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.801,3.00161,5.42092,0.96036,0.32847,0.24703,0.15727,0.0485,3.23339,5.19742,0.9342,0.000552527,0.000552527,0.000552527
2,594.26,3.04564,3.7848,0.921,0.32361,0.36279,0.22764,0.06234,3.09259,3.92731,0.82627,0.00110271,0.00110271,0.00110271
3,884.011,3.00577,3.50543,0.90368,0.30573,0.3596,0.18635,0.0613,3.02128,3.87796,0.83563,0.00164739,0.00164739,0.00164739
4,1167.16,2.86413,2.7956,0.90056,0.317,0.43658,0.23548,0.07472,2.95693,2.88833,0.83002,0.00164225,0.00164225,0.00164225
5,1451.61,2.89114,2.50336,0.89848,0.30273,0.41362,0.22721,0.07667,2.88584,2.32451,0.82058,0.00163399,0.00163399,0.00163399
6,1735.78,2.83984,2.24754,0.8919,0.36058,0.4496,0.26571,0.08413,2.99508,2.2836,0.83981,0.00162574,0.00162574,0.00162574
7,2023.98,2.82252,2.10022,0.89902,0.33431,0.42311,0.2842,0.10293,2.87606,2.04025,0.83134,0.00161749,0.00161749,0.00161749
8,2308.31,2.77036,2.03673,0.87927,0.32986,0.38545,0.22057,0.06856,3.13516,2.02878,0.86165,0.00160924,0.00160924,0.00160924
9,2592.85,2.63579,1.93766,0.86658,0.36864,0.42848,0.26699,0.08882,2.84674,1.96541,0.82582,0.00160099,0.00160099,0.00160099
10,2876.6,2.63065,1.86601,0.8714,0.31028,0.42298,0.25472,0.09279,2.77474,1.86863,0.8037,0.00159274,0.00159274,0.00159274
11,3155.34,2.76059,1.88512,0.8606,0.31261,0.40566,0.25741,0.07844,2.89199,1.90166,0.81844,0.00158448,0.00158448,0.00158448
12,3429.81,2.64189,1.82346,0.84605,0.33807,0.4715,0.31709,0.10273,2.86354,1.80728,0.83885,0.00157623,0.00157623,0.00157623
13,3717.56,2.63367,1.76113,0.86439,0.34641,0.57075,0.29492,0.09818,2.86963,1.74633,0.87451,0.00156798,0.00156798,0.00156798
14,4004.74,2.6385,1.80172,0.87735,0.37617,0.41306,0.2891,0.09585,2.7211,1.80609,0.81224,0.00155973,0.00155973,0.00155973
15,4282.93,2.691,1.78633,0.88026,0.36111,0.48944,0.27678,0.09081,2.78931,1.77847,0.79954,0.00155148,0.00155148,0.00155148
16,4569,2.60336,1.71164,0.8622,0.36156,0.49154,0.29207,0.09823,2.72305,1.70839,0.79282,0.00154323,0.00154323,0.00154323
17,4834.15,2.57052,1.68052,0.86119,0.32372,0.41912,0.23836,0.06932,2.97943,1.86784,0.82374,0.00153497,0.00153497,0.00153497
18,5106.45,2.68486,1.7551,0.85847,0.35522,0.45037,0.28432,0.08106,2.77303,1.83177,0.80341,0.00152672,0.00152672,0.00152672
19,5389.18,2.59206,1.71408,0.85427,0.34736,0.45268,0.26811,0.09583,2.74148,1.77691,0.81086,0.00151847,0.00151847,0.00151847
20,5677.78,2.66479,1.70993,0.87858,0.39763,0.45896,0.29215,0.09679,2.71837,1.7554,0.81367,0.00151022,0.00151022,0.00151022
21,5944.88,2.51124,1.59995,0.82651,0.38529,0.56784,0.32887,0.11195,2.64264,1.63423,0.78633,0.00150197,0.00150197,0.00150197
22,6228.32,2.50749,1.63244,0.83749,0.35362,0.46446,0.28847,0.09726,2.6361,1.85786,0.78872,0.00149372,0.00149372,0.00149372
23,6498.37,2.52215,1.622,0.85479,0.35982,0.45279,0.33113,0.10672,2.73989,1.67841,0.81707,0.00148546,0.00148546,0.00148546
24,6763.71,2.51432,1.54829,0.86315,0.38152,0.46919,0.33701,0.11902,2.63075,1.67112,0.79114,0.00147721,0.00147721,0.00147721
25,7048.97,2.48268,1.56104,0.86067,0.3523,0.49648,0.36677,0.13342,2.65466,1.72523,0.79877,0.00146896,0.00146896,0.00146896
26,7343.13,2.60127,1.59614,0.83125,0.34421,0.51761,0.31067,0.11114,2.73929,1.67579,0.80304,0.00146071,0.00146071,0.00146071
27,7620.91,2.48037,1.57743,0.84547,0.33582,0.53083,0.32189,0.10729,2.72607,1.728,0.81241,0.00145246,0.00145246,0.00145246
28,7885.02,2.47483,1.57745,0.80867,0.35234,0.45279,0.27014,0.09409,2.81529,1.72328,0.80408,0.00144421,0.00144421,0.00144421
29,8158.16,2.47455,1.61378,0.80811,0.36539,0.46908,0.32877,0.10982,2.74397,1.71433,0.811,0.00143595,0.00143595,0.00143595
30,8424.72,2.40338,1.50379,0.83677,0.37528,0.48188,0.30751,0.10385,2.72613,1.72911,0.80167,0.0014277,0.0014277,0.0014277
31,8711.76,2.40166,1.45231,0.83981,0.36633,0.50429,0.33107,0.11719,2.68245,1.68183,0.805,0.00141945,0.00141945,0.00141945
32,8996.84,2.37951,1.45945,0.85238,0.37038,0.45896,0.33592,0.12801,2.62192,1.66744,0.79872,0.0014112,0.0014112,0.0014112
33,9286.47,2.37492,1.50783,0.83507,0.38344,0.48977,0.34858,0.11626,2.73547,1.75831,0.80516,0.00140295,0.00140295,0.00140295
34,9568.63,2.38621,1.46923,0.8301,0.38958,0.53128,0.37895,0.13387,2.5932,1.73631,0.78849,0.0013947,0.0013947,0.0013947
35,9856.01,2.42239,1.49411,0.84314,0.3644,0.4309,0.31244,0.11151,2.71349,1.74913,0.80554,0.00138644,0.00138644,0.00138644
36,10133.3,2.44448,1.54402,0.82774,0.43282,0.40273,0.38471,0.13562,2.63739,1.63072,0.81375,0.00137819,0.00137819,0.00137819
37,10413.6,2.37707,1.47571,0.81909,0.45278,0.46754,0.39625,0.1396,2.64066,1.6185,0.79359,0.00136994,0.00136994,0.00136994
38,10699,2.355,1.46714,0.81379,0.38056,0.51221,0.35871,0.13761,2.6022,1.66852,0.78742,0.00136169,0.00136169,0.00136169
39,10986.5,2.43585,1.47217,0.83049,0.35308,0.57471,0.32871,0.12437,2.52721,1.58884,0.7848,0.00135344,0.00135344,0.00135344
40,11268.2,2.24401,1.43648,0.8184,0.36521,0.52157,0.3367,0.12592,2.58594,1.5426,0.79582,0.00134519,0.00134519,0.00134519
41,11546,2.35235,1.41659,0.82685,0.3771,0.54141,0.38811,0.13512,2.53849,1.57326,0.78637,0.00133693,0.00133693,0.00133693
42,11817.3,2.26524,1.39711,0.82787,0.38186,0.52311,0.38169,0.13249,2.53017,1.58964,0.79134,0.00132868,0.00132868,0.00132868
43,12083.7,2.31314,1.40839,0.81947,0.40552,0.50748,0.38854,0.13962,2.61298,1.57264,0.79021,0.00132043,0.00132043,0.00132043
44,12356.1,2.36603,1.35185,0.8125,0.38797,0.51375,0.34992,0.12964,2.634,1.5782,0.79645,0.00131218,0.00131218,0.00131218
45,12627.8,2.33066,1.44184,0.82851,0.36075,0.45021,0.34051,0.10696,2.76325,1.71173,0.82239,0.00130393,0.00130393,0.00130393
46,12912.8,2.25664,1.35629,0.81177,0.41072,0.51681,0.36001,0.12756,2.64196,1.61601,0.79782,0.00129568,0.00129568,0.00129568
47,13198.4,2.32354,1.37909,0.83477,0.38115,0.53155,0.3945,0.13436,2.65987,1.6302,0.81075,0.00128742,0.00128742,0.00128742
48,13480.7,2.33376,1.40595,0.80698,0.40308,0.42986,0.33775,0.12135,2.6086,1.58902,0.78857,0.00127917,0.00127917,0.00127917
49,13756.3,2.27447,1.31955,0.81787,0.45597,0.50121,0.37721,0.13565,2.58909,1.60075,0.79042,0.00127092,0.00127092,0.00127092
50,14038.9,2.32381,1.35611,0.81015,0.37799,0.53659,0.37793,0.12698,2.60038,1.57671,0.79482,0.00126267,0.00126267,0.00126267
51,14312.4,2.23791,1.3186,0.81977,0.46643,0.47409,0.38842,0.13439,2.69846,1.56978,0.79646,0.00125442,0.00125442,0.00125442
52,14597.6,2.32081,1.31956,0.81902,0.46247,0.46177,0.36448,0.12578,2.57229,1.57921,0.791,0.00124617,0.00124617,0.00124617
53,14878.4,2.34347,1.32645,0.82564,0.38823,0.5073,0.3688,0.12945,2.56232,1.6949,0.79507,0.00123791,0.00123791,0.00123791
54,15148.5,2.24495,1.31385,0.79491,0.39727,0.4879,0.35553,0.12337,2.65289,1.59529,0.79604,0.00122966,0.00122966,0.00122966
55,15430.2,2.30411,1.32894,0.81152,0.41413,0.46714,0.36203,0.11396,2.66432,1.67558,0.79233,0.00122141,0.00122141,0.00122141
56,15702.5,2.33184,1.37576,0.81811,0.46611,0.5208,0.4117,0.13595,2.61343,1.58723,0.79262,0.00121316,0.00121316,0.00121316
57,15970.1,2.22303,1.25951,0.81545,0.48754,0.45068,0.37721,0.13362,2.66875,1.65224,0.79919,0.00120491,0.00120491,0.00120491
58,16235.2,2.24092,1.31336,0.80704,0.39298,0.49654,0.38065,0.12462,2.57894,1.71676,0.79827,0.00119666,0.00119666,0.00119666
59,16506.6,2.17496,1.31907,0.81311,0.38775,0.55231,0.36085,0.12894,2.56569,1.57675,0.79804,0.0011884,0.0011884,0.0011884
60,16770.5,2.20409,1.27891,0.80358,0.36227,0.48008,0.33893,0.12151,2.64509,1.60624,0.79527,0.00118015,0.00118015,0.00118015
61,17040.7,2.29616,1.25414,0.82189,0.3424,0.4825,0.34455,0.13015,2.55144,1.6594,0.79686,0.0011719,0.0011719,0.0011719
