epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.986,2.33849,1.83361,1.07405,0.29471,0.45139,0.27055,0.09963,2.63954,1.84124,1.07215,0.000552527,0.000552527,0.000552527
2,796.489,2.29407,1.80646,1.10938,0.33662,0.44184,0.27856,0.09419,2.59951,1.86294,1.06223,0.00105334,0.00105334,0.00105334
3,1219.93,2.39634,1.79689,1.03411,0.3664,0.42969,0.31976,0.10488,2.61477,1.8047,1.06375,0.00149914,0.00149914,0.00149914
4,1561.99,2.29378,1.75774,1.08303,0.31884,0.45914,0.29099,0.094,2.72936,1.83879,1.09357,0.00141945,0.00141945,0.00141945
5,1876.48,2.34294,1.8061,1.05669,0.33855,0.44483,0.30289,0.10496,2.61268,1.75219,1.07609,0.00133693,0.00133693,0.00133693
6,2205.61,2.29822,1.69835,1.05092,0.32965,0.42882,0.31819,0.11678,2.55162,1.84781,1.07378,0.00125442,0.00125442,0.00125442
7,2510.4,2.19182,1.75158,1.05963,0.30512,0.39408,0.25308,0.08542,2.68499,1.90266,1.08761,0.0011719,0.0011719,0.0011719
8,2830.74,2.23349,1.70632,1.02121,0.31545,0.42535,0.28807,0.09894,2.50551,1.82844,1.06318,0.00108938,0.00108938,0.00108938
9,3143.6,2.19645,1.67403,1.03438,0.38375,0.41667,0.33219,0.11346,2.58511,1.7019,1.09152,0.00100687,0.00100687,0.00100687
10,3462.24,2.30711,1.64941,1.0358,0.35123,0.53993,0.37502,0.14317,2.50569,1.56683,1.04729,0.000924352,0.000924352,0.000924352
11,3768.98,2.07196,1.60061,1.07452,0.33615,0.50772,0.32271,0.12825,2.61316,1.68843,1.07408,0.000841835,0.000841835,0.000841835
12,4085.14,2.10045,1.56294,1.07915,0.34607,0.51166,0.36499,0.13654,2.37891,1.64998,1.02888,0.000759318,0.000759318,0.000759318
13,4471.5,2.01471,1.51841,1.04289,0.35903,0.44792,0.30841,0.11272,2.5669,1.80904,1.0645,0.000676802,0.000676802,0.000676802
14,4861.35,2.02135,1.46708,1.03875,0.38178,0.48411,0.3687,0.12966,2.56694,1.59259,1.06842,0.000594286,0.000594286,0.000594286
15,5236.43,2.04756,1.43954,1.05479,0.33788,0.52719,0.35292,0.12366,2.59999,1.67682,1.07985,0.000511769,0.000511769,0.000511769
