epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.394,2.09395,9.35222,1.25865,0,0,0,0,2.22009,10.8383,1.08277,0.00010002,0.00010002,0.00010002
2,256.741,1.72512,8.3382,1.03729,0.00056,0.375,0.01967,0.00208,2.00828,9.29919,1.02801,0.000214565,0.000214565,0.000214565
3,348.897,1.88493,9.05046,1.10624,0.00113,0.625,0.00106,0.00024,1.97878,9.59326,1.13507,0.000326799,0.000326799,0.000326799
4,444.261,1.8977,6.03465,1.2692,0.00085,0.5,0.00066,8e-05,2.40859,10.421,1.24998,0.000436722,0.000436722,0.000436722
5,535.375,1.60975,5.23935,1.07143,0.00055,0.25,0.00042,4e-05,1.91138,9.03261,1.12976,0.000544336,0.000544336,0.000544336
6,633.042,1.91878,5.00914,1.19209,0,0,0,0,1.96123,8.93417,1.06581,0.000649638,0.000649638,0.000649638
7,746.365,1.65006,5.3491,1.06949,0,0,0,0,2.10249,8.28932,1.04383,0.00075263,0.00075263,0.00075263
8,883.179,2.07489,5.41592,1.23117,0,0,0,0,1.89358,8.60132,1.05728,0.000853312,0.000853312,0.000853312
9,1074.97,1.69754,4.78126,1.12481,0.00081,0.5,0.00074,0.00034,1.94141,7.52981,1.17966,0.000951684,0.000951684,0.000951684
10,1211.97,1.73126,5.31353,1.15338,0.00081,0.5,0.0084,0.00563,2.02784,7.19161,1.27593,0.00104774,0.00104774,0.00104774
11,1316.34,1.63055,4.46609,1.3765,0.00049,0.25,0.20596,0.16477,1.72416,7.09899,1.19491,0.00114149,0.00114149,0.00114149
12,1430.77,1.76899,6.29219,1.05087,0.00081,0.375,0.09306,0.0679,2.00756,6.93069,1.34599,0.00123293,0.00123293,0.00123293
13,1544.18,1.52839,4.11039,1.12439,0.00079,0.375,0.2401,0.11734,2.39242,7.50342,1.46534,0.00132206,0.00132206,0.00132206
14,1684.87,1.50596,3.30084,1.11441,0.01128,0.17934,0.05917,0.02152,2.09958,6.86998,1.42492,0.00140888,0.00140888,0.00140888
15,1813.54,1.52065,3.75226,1.13981,0.54033,0.125,0.03007,0.01417,2.33955,6.12575,1.45229,0.00143595,0.00143595,0.00143595
16,1940.45,1.48863,3.5018,1.15858,0.20473,0.125,0.31584,0.10472,2.4832,5.89567,1.54879,0.00141945,0.00141945,0.00141945
17,2062.61,1.54209,3.71649,1.01945,0.88011,0.125,0.22821,0.09371,2.47043,5.42841,1.52968,0.00140295,0.00140295,0.00140295
18,2192.17,1.3087,4.4806,0.93387,0.92606,0.125,0.22259,0.10503,2.3661,5.46147,1.44574,0.00138644,0.00138644,0.00138644
19,2330.95,1.42037,3.0733,1.01869,0.41849,0.125,0.17771,0.07335,2.21048,5.59012,1.37519,0.00136994,0.00136994,0.00136994
20,2491.82,1.4728,4.0801,1.01311,0.94731,0.125,0.19557,0.09545,2.21297,5.63724,1.34546,0.00135344,0.00135344,0.00135344
21,2638.7,1.44925,2.79069,0.98147,0.96213,0.125,0.2627,0.11104,2.26137,5.35441,1.37796,0.00133693,0.00133693,0.00133693
